id,v1x,v1y,v2x,v2y,v3x,v3y,type,num_polygon_edges
65,-96.7631,42.087,-97.0054,41.7429,-97.0053,41.7429,SIDE,1
66,-96.7631,42.087,-97.0053,41.7429,-97.0043,41.7429,INTERNAL,0
67,-96.7631,42.087,-97.0043,41.7429,-97.004,41.7429,INTERNAL,0
68,-96.7631,42.087,-97.004,41.7429,-97.0036,41.7429,INTERNAL,0
69,-96.7631,42.087,-97.0028,41.7429,-97.0027,41.7429,INTERNAL,0
70,-96.7631,42.087,-97.0027,41.7429,-97.0023,41.7429,INTERNAL,0
71,-96.7631,42.087,-97.0023,41.7429,-97.0022,41.7429,INTERNAL,0
72,-96.7631,42.087,-97.0022,41.7429,-97.002,41.7429,INTERNAL,0
73,-96.7631,42.087,-97.002,41.7429,-97.0017,41.7429,INTERNAL,0
74,-96.7631,42.087,-97.0017,41.7429,-97.001,41.7429,INTERNAL,0
75,-96.7631,42.087,-97.001,41.7429,-97.0008,41.7429,INTERNAL,0
76,-96.7631,42.087,-97.0005,41.7429,-97.0003,41.7429,INTERNAL,0
77,-96.7631,42.087,-97.0003,41.7429,-96.9994,41.7429,INTERNAL,0
78,-96.7631,42.087,-96.9994,41.7429,-96.9983,41.7429,INTERNAL,0
79,-96.7631,42.087,-96.9983,41.7429,-96.9978,41.7429,INTERNAL,0
80,-96.7631,42.087,-96.9978,41.7429,-96.9976,41.7429,INTERNAL,0
81,-96.7631,42.087,-96.9976,41.7429,-96.9962,41.7429,INTERNAL,0
82,-96.7631,42.087,-96.9962,41.7429,-96.9955,41.7429,INTERNAL,0
83,-96.7631,42.087,-96.9955,41.7429,-96.995,41.7429,INTERNAL,0
84,-96.9484,41.7433,-96.995,41.7429,-96.9848,41.7429,INTERNAL,0
85,-96.9484,41.7433,-96.9848,41.7429,-96.9485,41.7431,INTERNAL,0
86,-96.9482,41.7437,-96.995,41.7429,-96.9885,41.743,INTERNAL,0
87,-96.9482,41.7437,-96.9885,41.743,-96.9484,41.7433,INTERNAL,0
88,-96.995,41.7429,-96.9482,41.7437,-96.948,41.7439,INTERNAL,0
89,-96.995,41.7429,-96.948,41.7439,-96.9477,41.7446,INTERNAL,0
90,-96.933,41.7427,-96.9442,41.7511,-96.9465,41.7468,INTERNAL,0
91,-96.933,41.7427,-96.9465,41.7468,-96.947,41.7459,INTERNAL,0
92,-96.933,41.7427,-96.947,41.7459,-96.948,41.7441,INTERNAL,0
93,-96.933,41.7427,-96.9137,41.743,-96.9136,41.7431,INTERNAL,0
94,-96.933,41.7427,-96.9136,41.7431,-96.9136,41.7432,INTERNAL,0
95,-96.9132,41.7441,-96.933,41.7427,-96.9298,41.7428,INTERNAL,0
96,-96.9132,41.7441,-96.9298,41.7428,-96.9136,41.7432,INTERNAL,0
97,-96.8674,41.7427,-96.9134,41.7436,-96.9137,41.743,INTERNAL,0
98,-96.8674,41.7427,-96.9137,41.743,-96.9137,41.7429,INTERNAL,0
99,-96.8675,41.7426,-96.8467,41.743,-96.8466,41.7432,INTERNAL,0
100,-96.8675,41.7426,-96.8466,41.7432,-96.8466,41.7435,INTERNAL,0
101,-96.8675,41.7426,-96.8466,41.7435,-96.8465,41.7438,INTERNAL,0
102,-96.8675,41.7426,-96.8463,41.7448,-96.8462,41.7451,INTERNAL,0
103,-96.8453,41.7488,-96.8466,41.7433,-96.8254,41.7426,INTERNAL,0
104,-96.8453,41.7488,-96.8254,41.7426,-96.8196,41.7424,INTERNAL,0
105,-96.8467,41.7431,-96.8467,41.7429,-96.8297,41.7426,INTERNAL,0
106,-96.8467,41.7431,-96.8297,41.7426,-96.8196,41.7424,INTERNAL,0
107,-96.7906,41.7431,-96.8196,41.7424,-96.8119,41.7425,INTERNAL,0
108,-96.7906,41.7431,-96.8119,41.7425,-96.8041,41.7426,INTERNAL,0
109,-96.8196,41.7426,-96.7906,41.7432,-96.7906,41.7433,INTERNAL,0
110,-96.8196,41.7426,-96.7905,41.7443,-96.7905,41.7445,INTERNAL,0
111,-96.8196,41.7426,-96.7905,41.7445,-96.7905,41.7451,INTERNAL,0
112,-96.7782,41.745,-96.7907,41.7424,-96.7876,41.7425,INTERNAL,0
113,-96.7782,41.745,-96.7876,41.7425,-96.7783,41.743,INTERNAL,0
114,-96.9809,42.0906,-96.9533,42.0903,-96.9533,42.0904,INTERNAL,0
115,-96.9809,42.0906,-96.9533,42.0904,-96.9533,42.0905,INTERNAL,0
116,-96.9809,42.0906,-97.0193,42.0905,-97.0193,42.0904,INTERNAL,0
117,-97.0192,42.0786,-97.0194,42.0906,-97.0195,42.0868,INTERNAL,0
118,-97.0192,42.0196,-97.0196,42.0146,-97.0182,42.0164,INTERNAL,0
119,-97.0175,41.9984,-97.0203,41.9516,-97.0202,41.9514,INTERNAL,0
120,-97.0193,41.8502,-97.0186,41.8501,-97.021,41.8558,INTERNAL,0
121,-97.0136,41.7655,-97.0196,41.8303,-97.0198,41.8303,INTERNAL,0
122,-96.9598,41.8345,-96.9005,42.1298,-96.9006,42.1299,INTERNAL,0
123,-96.9598,41.8345,-96.9026,42.1396,-96.9026,42.1397,INTERNAL,0
124,-96.7631,42.0881,-96.7631,42.0885,-96.7793,42.0905,INTERNAL,0
125,-96.8641,41.9574,-96.8,42.0928,-96.8001,42.0928,INTERNAL,0
126,-96.8641,41.9574,-96.8019,42.0931,-96.8023,42.0931,INTERNAL,0
127,-96.8641,41.9574,-96.8023,42.0931,-96.8026,42.0932,INTERNAL,0
128,-96.8641,41.9574,-96.8026,42.0932,-96.8029,42.0932,INTERNAL,0
129,-96.8641,41.9574,-96.8046,42.0935,-96.805,42.0936,INTERNAL,0
130,-96.5531,41.818,-96.5608,41.8524,-96.561,41.8526,INTERNAL,0
131,-96.5599,41.9388,-96.554,41.9,-96.554,41.9,INTERNAL,0
132,-96.5599,41.9388,-96.554,41.9,-96.5538,41.8999,INTERNAL,0
133,-96.5521,41.958,-96.5574,41.9603,-96.5572,41.9594,INTERNAL,0
134,-96.5529,41.9903,-96.5673,41.9943,-96.5669,41.9939,INTERNAL,0
135,-96.5611,42.0168,-96.5549,41.9909,-96.5548,41.9908,INTERNAL,0
136,-96.5579,42.0509,-96.5543,42.0425,-96.5543,42.0443,INTERNAL,0
137,-96.5561,42.0667,-96.5556,42.0616,-96.5553,42.0638,INTERNAL,0
138,-96.5561,42.0667,-96.5553,42.0638,-96.5549,42.0668,INTERNAL,0
139,-96.5558,42.0667,-96.5554,42.0668,-96.5554,42.0781,INTERNAL,0
140,-96.5558,42.0667,-96.5554,42.0781,-96.5554,42.085,INTERNAL,0
141,-96.5555,42.09,-96.5612,42.09,-96.568,42.0828,INTERNAL,0
142,-96.6788,42.0682,-96.6688,42.091,-96.6696,42.0907,INTERNAL,0
143,-96.6788,42.0682,-96.6696,42.0907,-96.6701,42.0905,INTERNAL,0
144,-96.7631,42.0494,-96.6376,42.107,-96.6383,42.1067,INTERNAL,0
145,-96.7631,42.0494,-96.6383,42.1067,-96.6395,42.1062,INTERNAL,0
146,-96.7631,42.0494,-96.666,42.0952,-96.6684,42.0942,INTERNAL,0
147,-96.6727,42.0924,-96.7631,42.0494,-96.7086,42.0752,INTERNAL,0
148,-96.7631,42.0494,-96.6727,42.0924,-96.6747,42.0916,INTERNAL,0
149,-96.7634,41.7423,-96.7488,41.7435,-96.7488,41.7442,INTERNAL,0
150,-96.7209,41.7432,-96.7488,41.7423,-96.742,41.7424,INTERNAL,0
151,-96.7209,41.7432,-96.742,41.7424,-96.7208,41.7428,INTERNAL,0
152,-96.7631,42.0494,-96.7208,41.7425,-96.7105,41.7424,INTERNAL,0
153,-96.7631,42.0494,-96.7105,41.7424,-96.7104,41.7424,SIDE,1
154,-96.7631,42.0494,-96.7104,41.7424,-96.7101,41.7424,SIDE,1
155,-96.7631,42.0494,-96.7101,41.7424,-96.7092,41.7424,INTERNAL,0
156,-96.7631,42.0494,-96.7092,41.7424,-96.7091,41.7424,INTERNAL,0
157,-96.7631,42.0494,-96.7091,41.7424,-96.7091,41.7424,INTERNAL,0
158,-96.7631,42.0494,-96.7091,41.7424,-96.709,41.7424,INTERNAL,0
159,-96.7631,42.0494,-96.709,41.7424,-96.709,41.7424,INTERNAL,0
160,-96.7631,42.0494,-96.709,41.7424,-96.7088,41.7424,INTERNAL,0
161,-96.7631,42.0494,-96.7088,41.7424,-96.7086,41.7424,INTERNAL,0
162,-96.7631,42.0494,-96.7086,41.7424,-96.7083,41.7424,INTERNAL,0
163,-96.7631,42.0494,-96.7083,41.7424,-96.708,41.7424,INTERNAL,0
164,-96.7631,42.0494,-96.708,41.7424,-96.7069,41.7423,INTERNAL,0
165,-96.7631,42.0494,-96.7069,41.7423,-96.7047,41.7423,INTERNAL,0
166,-96.7631,42.0494,-96.7047,41.7423,-96.7005,41.7423,INTERNAL,0
167,-96.7631,42.0494,-96.7005,41.7423,-96.6983,41.7423,INTERNAL,0
168,-96.6983,41.7423,-96.6751,41.7426,-96.6751,41.7427,INTERNAL,0
169,-96.6983,41.7423,-96.6751,41.7427,-96.6752,41.7429,INTERNAL,0
170,-96.7631,42.0494,-96.6133,41.7422,-96.6131,41.7422,INTERNAL,0
171,-96.7631,42.0494,-96.6131,41.7422,-96.6126,41.7422,INTERNAL,0
172,-96.7631,42.0494,-96.6126,41.7422,-96.6105,41.7421,INTERNAL,0
173,-96.6104,41.742,-96.6752,41.7431,-96.6752,41.743,INTERNAL,0
174,-96.6104,41.742,-96.6752,41.743,-96.6752,41.7429,INTERNAL,0
175,-96.7631,42.0494,-96.6104,41.742,-96.6083,41.7421,INTERNAL,0
176,-96.7631,42.0494,-96.6083,41.7421,-96.6082,41.7421,INTERNAL,0
177,-96.7631,42.0494,-96.6082,41.7421,-96.6079,41.7421,INTERNAL,0
178,-96.7631,42.0494,-96.6079,41.7421,-96.6052,41.7421,INTERNAL,0
179,-96.7631,42.0494,-96.6052,41.7421,-96.6045,41.7421,INTERNAL,0
180,-96.7631,42.0494,-96.6045,41.7421,-96.6036,41.7421,INTERNAL,0
181,-96.7631,42.0494,-96.6036,41.7421,-96.6012,41.7421,INTERNAL,0
182,-96.6611,41.742,-96.6619,41.7423,-96.6751,41.7427,INTERNAL,0
183,-96.7631,42.0494,-96.702,41.9397,-96.5552,41.7527,INTERNAL,0
184,-96.5467,41.7419,-96.592,41.7424,-96.592,41.7423,INTERNAL,0
185,-96.7631,42.087,-96.9081,41.9009,-97.0199,41.7455,INTERNAL,0
186,-96.7631,42.087,-97.0199,41.7455,-97.0217,41.743,INTERNAL,0
187,-96.9081,41.9009,-96.9717,41.8192,-97.0198,41.7458,INTERNAL,0
188,-96.9081,41.9009,-97.0198,41.7458,-97.0217,41.743,INTERNAL,0
189,-96.9717,41.8192,-96.9763,41.8133,-97.0198,41.7459,INTERNAL,0
190,-96.9717,41.8192,-97.0198,41.7459,-97.0217,41.743,INTERNAL,0
191,-96.9763,41.8133,-96.9808,41.8076,-97.0198,41.7459,INTERNAL,0
192,-96.9763,41.8133,-97.0198,41.7459,-97.0217,41.743,INTERNAL,0
193,-96.9808,41.8076,-96.993,41.7919,-97.0198,41.7462,INTERNAL,0
194,-96.9808,41.8076,-97.0198,41.7462,-97.0217,41.743,INTERNAL,0
195,-96.993,41.7919,-96.998,41.7854,-97.0198,41.7464,INTERNAL,0
196,-96.993,41.7919,-97.0198,41.7464,-97.0217,41.743,INTERNAL,0
197,-96.998,41.7854,-97.0064,41.7747,-97.0198,41.7468,INTERNAL,0
