split_id,iteration,is_lookahead,p1x,p1y,p2x,p2y,p3x,p3y,split_sx,split_sy,split_tx,split_ty,c1_1x,c1_1y,c1_2x,c1_2y,c1_3x,c1_3y,c2_1x,c2_1y,c2_2x,c2_2y,c2_3x,c2_3y
27,27,1,993054446,1003338250,995515979,1005510827,993133011,1190190821,995515979,1005510827,993054675,1003882785,995515979,1005510827,993133011,1190190821,993054675,1003882785,995515979,1005510827,993054675,1003882785,993054446,1003338250
28,28,1,993054446,1003338250,993051365,996009619,993560628,996006905,993051365,996009619,993560291,996011786,993051365,996009619,993560628,996006905,993560291,996011786,993051365,996009619,993560291,996011786,993054446,1003338250
29,29,1,993054446,1003338250,993560628,996006905,994107070,996003992,994107070,996003992,993560127,996014165,994107070,996003992,993054446,1003338250,993560127,996014165,994107070,996003992,993560127,996014165,993560628,996006905
30,30,1,993054446,1003338250,994107070,996003992,995099438,995998702,995099438,995998702,994104658,996020795,995099438,995998702,993054446,1003338250,994104658,996020795,995099438,995998702,994104658,996020795,994107070,996003992
31,31,1,993054446,1003338250,995099438,995998702,995638753,995995827,995638753,995995827,995096000,996011039,995638753,995995827,993054446,1003338250,995096000,996011039,995638753,995995827,995096000,996011039,995099438,995998702
32,32,1,993054823,1004234264,989857706,996026644,990059285,996025570,993054823,1004234264,989969571,996026048,993054823,1004234264,989857706,996026644,989969571,996026048,993054823,1004234264,989969571,996026048,990059285,996025570
33,33,1,993054823,1004234264,990059285,996025570,990288075,996024350,993054823,1004234264,990195396,996024844,993054823,1004234264,990059285,996025570,990195396,996024844,993054823,1004234264,990195396,996024844,990288075,996024350
34,34,1,993054823,1004234264,990288075,996024350,990840945,996021403,990288075,996024350,990841915,996024999,990288075,996024350,990840945,996021403,990841915,996024999,990288075,996024350,990841915,996024999,993054823,1004234264
35,35,1,993054823,1004234264,990840945,996021403,991256738,996019186,993054823,1004234264,991028044,996020405,993054823,1004234264,990840945,996021403,991028044,996020405,993054823,1004234264,991028044,996020405,991256738,996019186
36,36,1,993054823,1004234264,991256738,996019186,991809926,996016237,991809926,996016237,991258108,996025443,991809926,996016237,993054823,1004234264,991258108,996025443,991809926,996016237,991258108,996025443,991256738,996019186
37,37,1,993054823,1004234264,991809926,996016237,992381028,996013193,993054823,1004234264,992056192,996014924,993054823,1004234264,991809926,996016237,992056192,996014924,993054823,1004234264,992056192,996014924,992381028,996013193
38,38,1,993054823,1004234264,992381028,996013193,992725662,996011356,992381028,996013193,992726389,996029510,992381028,996013193,992725662,996011356,992726389,996029510,992381028,996013193,992726389,996029510,993054823,1004234264
39,39,1,993054823,1004234264,992725662,996011356,993051365,996009619,993054823,1004234264,992872789,996010571,993054823,1004234264,992725662,996011356,992872789,996010571,993054823,1004234264,992872789,996010571,993051365,996009619
40,40,1,990708181,998209978,993133011,1190190821,989979679,1003257336,990708181,998209978,989997609,1004320287,990708181,998209978,993133011,1190190821,989997609,1004320287,990708181,998209978,989997609,1004320287,989979679,1003257336
41,41,1,990708181,998209978,989979679,1003257336,989944450,1001168925,990708181,998209978,989965680,1002427515,990708181,998209978,989979679,1003257336,989965680,1002427515,990708181,998209978,989965680,1002427515,989944450,1001168925
42,42,1,990708181,998209978,989944450,1001168925,989901740,998637042,990708181,998209978,989924543,999988840,990708181,998209978,989944450,1001168925,989924543,999988840,990708181,998209978,989924543,999988840,989901740,998637042
43,43,1,990708181,998209978,989901740,998637042,989857706,996026644,989901740,998637042,990066451,996562534,989901740,998637042,989857706,996026644,990066451,996562534,989901740,998637042,990066451,996562534,990708181,998209978
44,44,1,990708181,998209978,991850171,1001141688,991922944,1011866148,991850171,1001141688,991371655,1005668648,991850171,1001141688,991922944,1011866148,991371655,1005668648,991850171,1001141688,991371655,1005668648,990708181,998209978
45,45,1,990708181,998209978,991922944,1011866148,993133011,1190190821,991922944,1011866148,990750260,1001541548,991922944,1011866148,993133011,1190190821,990750260,1001541548,991922944,1011866148,990750260,1001541548,990708181,998209978
46,46,1,991850171,1001141688,993054823,1004234264,993055862,1006705252,993054823,1004234264,992554512,1004391815,993054823,1004234264,993055862,1006705252,992554512,1004391815,993054823,1004234264,992554512,1004391815,991850171,1001141688
47,47,1,991850171,1001141688,993055862,1006705252,993133011,1190190821,991850171,1001141688,993057688,1011047914,991850171,1001141688,993055862,1006705252,993057688,1011047914,991850171,1001141688,993057688,1011047914,993133011,1190190821
48,48,1,993054446,1003338250,995638753,995995827,995608201,998363604,995608201,998363604,995507120,996369816,995608201,998363604,993054446,1003338250,995507120,996369816,995608201,998363604,995507120,996369816,995638753,995995827
49,49,1,993054446,1003338250,995608201,998363604,995579489,1000588765,993054446,1003338250,995590779,999713835,993054446,1003338250,995608201,998363604,995590779,999713835,993054446,1003338250,995590779,999713835,995579489,1000588765
50,50,1,993054446,1003338250,995579489,1000588765,995554423,1002531420,993054446,1003338250,995566097,1001626691,993054446,1003338250,995579489,1000588765,995566097,1001626691,993054446,1003338250,995566097,1001626691,995554423,1002531420
51,51,1,993054446,1003338250,995554423,1002531420,995529752,1004443387,993054446,1003338250,995538658,1003753214,993054446,1003338250,995554423,1002531420,995538658,1003753214,993054446,1003338250,995538658,1003753214,995529752,1004443387
52,52,1,995515979,1005510827,993054446,1003338250,994641805,1004046950,995515979,1005510827,994060379,1003787364,995515979,1005510827,993054446,1003338250,994060379,1003787364,995515979,1005510827,994060379,1003787364,994641805,1004046950
53,53,1,995515979,1005510827,994641805,1004046950,995529752,1004443387,995515979,1005510827,994926299,1004173967,995515979,1005510827,994641805,1004046950,994926299,1004173967,995515979,1005510827,994926299,1004173967,995529752,1004443387
