triangle_id,edge_idx,sx,sy,tx,ty
676,0,-96.8429,42.0904,-96.842,42.0904
677,0,-96.842,42.0904,-96.8393,42.0904
678,0,-96.8393,42.0904,-96.8366,42.0904
679,0,-96.8366,42.0904,-96.8363,42.0904
680,0,-96.8363,42.0904,-96.8361,42.0904
681,0,-96.8361,42.0904,-96.8348,42.0904
682,0,-96.8348,42.0904,-96.8316,42.0904
702,0,-96.5553,41.847,-96.5553,41.847
764,0,-96.5549,42.0159,-96.5549,42.0159
784,0,-96.6469,42.0901,-96.6419,42.0901
785,0,-96.6476,42.0901,-96.6469,42.0901
786,0,-96.6482,42.0901,-96.6476,42.0901
787,0,-96.6514,42.0901,-96.6482,42.0901
788,0,-96.6535,42.0901,-96.6514,42.0901
789,0,-96.6557,42.0901,-96.6535,42.0901
790,0,-96.6574,42.0901,-96.6557,42.0901
791,0,-96.659,42.0901,-96.658,42.0901
792,0,-96.6604,42.0901,-96.659,42.0901
793,0,-96.6627,42.0901,-96.6604,42.0901
794,0,-96.665,42.0901,-96.6627,42.0901
795,0,-96.6692,42.0901,-96.665,42.0901
798,0,-96.6182,42.0901,-96.617,42.0901
799,0,-96.62,42.0901,-96.6182,42.0901
800,0,-96.6212,42.0901,-96.62,42.0901
801,0,-96.6217,42.0901,-96.6212,42.0901
802,0,-96.6224,42.0901,-96.6217,42.0901
803,0,-96.6231,42.0901,-96.6224,42.0901
804,0,-96.6238,42.0901,-96.6231,42.0901
805,0,-96.6267,42.0901,-96.625,42.0901
806,0,-96.6288,42.0901,-96.6267,42.0901
807,0,-96.6309,42.0901,-96.6288,42.0901
808,0,-96.633,42.0901,-96.6309,42.0901
809,0,-96.6357,42.0901,-96.633,42.0901
810,0,-96.6365,42.0901,-96.6357,42.0901
811,0,-96.638,42.0901,-96.6365,42.0901
815,0,-96.6019,42.09,-96.6013,42.09
816,0,-96.604,42.0901,-96.602,42.09
817,0,-96.6049,42.0901,-96.604,42.0901
818,0,-96.6054,42.0901,-96.6049,42.0901
819,0,-96.6059,42.09,-96.6054,42.0901
820,0,-96.6066,42.0901,-96.6059,42.09
822,0,-96.6093,42.0901,-96.6088,42.0901
823,0,-96.6104,42.0901,-96.6095,42.0901
824,0,-96.6114,42.0901,-96.6104,42.0901
825,0,-96.6123,42.0901,-96.6114,42.0901
826,0,-96.6137,42.0901,-96.6123,42.0901
829,0,-96.6013,42.09,-96.6007,42.09
830,0,-96.6007,42.09,-96.597,42.09
831,0,-96.597,42.09,-96.5959,42.09
832,0,-96.5959,42.09,-96.5944,42.09
833,0,-96.594,42.09,-96.5933,42.09
834,0,-96.5933,42.09,-96.5924,42.09
836,0,-96.5913,42.09,-96.59,42.09
837,0,-96.5898,42.09,-96.5883,42.09
838,0,-96.5883,42.09,-96.5865,42.09
839,0,-96.7438,42.0902,-96.7403,42.0902
840,0,-96.7403,42.0902,-96.7383,42.0902
841,0,-96.7383,42.0902,-96.7316,42.0902
842,0,-96.7316,42.0902,-96.7295,42.0902
843,0,-96.7295,42.0902,-96.7288,42.0902
844,0,-96.7288,42.0902,-96.7275,42.0902
847,0,-96.7227,42.0902,-96.7216,42.0902
848,0,-96.7216,42.0902,-96.7194,42.0902
849,0,-96.7194,42.0902,-96.7172,42.0902
850,0,-96.7172,42.0902,-96.7166,42.0902
851,0,-96.7166,42.0902,-96.7143,42.0902
852,0,-96.7143,42.0902,-96.71,42.0902
854,0,-96.7588,42.0903,-96.758,42.0903
856,0,-96.7527,42.0902,-96.7523,42.0902
857,0,-96.752,42.0902,-96.751,42.0902
858,0,-96.751,42.0902,-96.75,42.0902
859,0,-96.75,42.0902,-96.749,42.0902
860,0,-96.749,42.0902,-96.7468,42.0902
863,0,-96.6789,42.0901,-96.6782,42.0901
864,0,-96.6808,42.0901,-96.6789,42.0901
865,0,-96.6824,42.0901,-96.6808,42.0901
866,0,-96.6841,42.0901,-96.6824,42.0901
867,0,-96.6875,42.0902,-96.6841,42.0901
868,0,-96.6907,42.0902,-96.6875,42.0902
869,0,-96.6916,42.0902,-96.6907,42.0902
870,0,-96.6979,42.0902,-96.697,42.0902
871,0,-96.6982,42.0902,-96.6979,42.0902
872,0,-96.6985,42.0902,-96.6982,42.0902
873,0,-96.6996,42.0902,-96.6985,42.0902
874,0,-96.7044,42.0902,-96.6996,42.0902
875,0,-96.7058,42.0902,-96.7044,42.0902
877,0,-96.671,42.0902,-96.6709,42.0901
878,0,-96.6712,42.0902,-96.671,42.0902
879,0,-96.6714,42.0902,-96.6712,42.0902
880,0,-96.6735,42.0901,-96.6714,42.0902
881,0,-96.6744,42.0901,-96.6735,42.0901
883,0,-96.6754,42.0901,-96.6749,42.0901
884,0,-96.677,42.09,-96.6756,42.0901
887,0,-96.5552,41.7526,-96.5552,41.7516
888,0,-96.5552,41.7516,-96.5552,41.7493
889,0,-96.5552,41.7492,-96.5552,41.7486
890,0,-96.5552,41.7486,-96.5552,41.7471
891,0,-96.5552,41.7471,-96.5552,41.7456
892,0,-96.5552,41.7456,-96.5552,41.7449
893,0,-96.5552,41.7449,-96.5552,41.7445
894,0,-96.5552,41.7445,-96.5552,41.7437
895,0,-96.5552,41.7437,-96.5552,41.743
896,0,-96.5552,41.743,-96.5552,41.742
901,0,-96.9977,42.0905,-96.9963,42.0906
906,0,-97.0196,42.0209,-97.0196,42.0225
907,0,-97.0196,42.0225,-97.0196,42.0241
908,0,-97.0196,42.0241,-97.0196,42.0258
909,0,-97.0196,42.0305,-97.0196,42.0343
910,0,-97.0195,42.0041,-97.0195,42.0049
911,0,-97.0195,42.0049,-97.0195,42.0075
912,0,-97.0195,42.0102,-97.0195,42.0139
913,0,-97.0197,41.9822,-97.0196,41.9849
914,0,-97.0197,41.9805,-97.0197,41.9822
915,0,-97.0197,41.9786,-97.0197,41.98
916,0,-97.0197,41.9774,-97.0197,41.9786
917,0,-97.0197,41.9761,-97.0197,41.9774
918,0,-97.0197,41.975,-97.0197,41.9761
920,0,-97.0197,41.9633,-97.0197,41.9668
921,0,-97.0195,42.0011,-97.0195,42.0041
922,0,-97.0196,41.9966,-97.0195,41.9997
923,0,-97.0196,41.9879,-97.0196,41.9893
924,0,-97.0198,41.9216,-97.0198,41.9263
925,0,-97.0198,41.917,-97.0198,41.9216
926,0,-97.0198,41.9147,-97.0198,41.917
927,0,-97.0197,41.9096,-97.0198,41.9147
928,0,-97.0197,41.9081,-97.0197,41.9096
929,0,-97.0197,41.9075,-97.0197,41.9081
930,0,-97.0197,41.9046,-97.0197,41.9071
931,0,-97.0197,41.9033,-97.0197,41.9046
932,0,-97.0198,41.9422,-97.0198,41.9455
933,0,-97.0198,41.9472,-97.0197,41.9487
934,0,-97.0197,41.9487,-97.0198,41.9496
935,0,-97.0197,41.8756,-97.0197,41.8769
936,0,-97.0197,41.8776,-97.0197,41.888
937,0,-97.0197,41.888,-97.0197,41.8897
938,0,-97.0197,41.8897,-97.0197,41.8912
939,0,-97.0197,41.8916,-97.0197,41.8951
940,0,-97.0197,41.8951,-97.0197,41.8978
941,0,-97.0197,41.8978,-97.0197,41.9025
942,0,-97.0196,41.8535,-97.0196,41.8566
943,0,-97.0196,41.8566,-97.0196,41.8577
944,0,-97.0196,41.8577,-97.0196,41.859
945,0,-97.0196,41.859,-97.0197,41.8638
946,0,-97.0197,41.8638,-97.0197,41.8645
947,0,-97.0197,41.8645,-97.0197,41.8661
948,0,-97.0197,41.7735,-97.0197,41.7742
949,0,-97.0197,41.772,-97.0197,41.7733
950,0,-97.0198,41.7703,-97.0197,41.7714
951,0,-97.0198,41.7694,-97.0198,41.7703
952,0,-97.0198,41.7624,-97.0198,41.7689
953,0,-97.0196,41.8,-97.0195,41.801
954,0,-97.0196,41.799,-97.0196,41.8
955,0,-97.0196,41.7979,-97.0196,41.799
956,0,-97.0196,41.794,-97.0196,41.7979
957,0,-97.0196,41.7929,-97.0196,41.794
958,0,-97.0196,41.7905,-97.0196,41.7923
959,0,-97.0196,41.7893,-97.0196,41.7905
960,0,-97.0197,41.7865,-97.0196,41.789
961,0,-97.0197,41.7798,-97.0197,41.7865
962,0,-97.0197,41.7786,-97.0197,41.7798
963,0,-97.0197,41.7761,-97.0197,41.7786
964,0,-97.0196,41.8373,-97.0196,41.8386
965,0,-97.0196,41.8386,-97.0196,41.8396
966,0,-97.0196,41.8398,-97.0196,41.8408
967,0,-97.0196,41.8408,-97.0196,41.8424
968,0,-97.0196,41.8424,-97.0196,41.8428
969,0,-97.0196,41.8428,-97.0196,41.8434
970,0,-97.0196,41.8434,-97.0196,41.8445
971,0,-97.0196,41.8445,-97.0196,41.8503
972,0,-97.0195,41.8188,-97.0196,41.8219
973,0,-97.0196,41.8134,-97.0195,41.8155
974,0,-97.0195,41.8044,-97.0195,41.8125
975,0,-97.0195,41.803,-97.0195,41.8044
976,0,-96.8794,42.0905,-96.8752,42.0905
977,0,-96.8752,42.0905,-96.875,42.0905
978,0,-96.8928,42.0905,-96.8924,42.0905
979,0,-96.8924,42.0905,-96.8922,42.0905
980,0,-96.9214,42.0905,-96.9209,42.0905
981,0,-96.9218,42.0905,-96.9214,42.0905
982,0,-96.7772,42.0903,-96.7758,42.0903
983,0,-96.7758,42.0903,-96.774,42.0903
984,0,-96.7866,42.0903,-96.7857,42.0903
985,0,-96.7857,42.0903,-96.7844,42.0903
986,0,-96.8224,42.0904,-96.8205,42.0904
